epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,361.389,1.51768,7.31303,1.35398,0.6805,0.5461,0.63226,0.3156,1.61509,6.787,1.51994,0.000665709,0.000665709,0.000665709
2,704.102,1.44173,3.68242,1.35159,0.79274,0.77305,0.82733,0.42432,1.53335,2.90632,1.598,0.00131918,0.00131918,0.00131918
3,1061.64,1.41038,2.03819,1.34518,0.78341,0.78723,0.85313,0.44653,1.4065,1.99946,1.51276,0.00195946,0.00195946,0.00195946
4,1407.15,1.50302,1.69772,1.36088,0.81167,0.85106,0.89067,0.48518,1.30963,1.20329,1.33506,0.0019406,0.0019406,0.0019406
5,1754.39,1.36957,1.47134,1.28527,0.86917,0.75887,0.85741,0.43673,1.53039,1.42335,1.50052,0.0019208,0.0019208,0.0019208
6,2112.97,1.29474,1.42702,1.20825,0.7905,0.7305,0.82585,0.43608,1.42017,2.37323,1.39502,0.001901,0.001901,0.001901
7,2443.14,1.30658,1.28907,1.21526,0.7671,0.87234,0.87931,0.47936,1.25653,1.34313,1.24961,0.0018812,0.0018812,0.0018812
8,2764.88,1.26261,1.25162,1.18656,0.90475,0.74103,0.89957,0.53688,1.22731,1.47257,1.25382,0.0018614,0.0018614,0.0018614
9,3086.91,1.25576,1.08891,1.16984,0.80308,0.73759,0.83839,0.4237,1.52514,1.30551,1.45615,0.0018416,0.0018416,0.0018416
10,3408.67,1.15968,1.06383,1.09903,0.84606,0.89362,0.93241,0.57195,1.19193,0.95658,1.20984,0.0018218,0.0018218,0.0018218
11,3731.24,1.18345,1.10734,1.13971,0.87391,0.8848,0.94378,0.54997,1.36039,0.92825,1.36483,0.001802,0.001802,0.001802
12,4053.69,1.25188,1.11899,1.18214,0.85462,0.9078,0.94605,0.58419,1.22042,0.89877,1.22446,0.0017822,0.0017822,0.0017822
13,4376.2,1.21707,1.01333,1.16697,0.90014,0.89503,0.96165,0.56862,1.24501,0.85252,1.24687,0.0017624,0.0017624,0.0017624
14,4696.39,1.13587,1.00479,1.0983,0.85283,0.90414,0.9539,0.57068,1.33646,0.87539,1.33526,0.0017426,0.0017426,0.0017426
15,5016.39,1.19537,0.99283,1.14366,0.94762,0.89809,0.96028,0.56467,1.26132,0.89487,1.27535,0.0017228,0.0017228,0.0017228
16,5335.95,1.13968,0.97922,1.08757,0.92094,0.82979,0.9422,0.55321,1.31858,0.93039,1.3006,0.001703,0.001703,0.001703
17,5659.15,1.13187,0.98378,1.09941,0.95182,0.84065,0.93966,0.5638,1.27872,0.92445,1.27455,0.0016832,0.0016832,0.0016832
18,5981.72,1.11728,0.97613,1.06739,0.92069,0.90568,0.96096,0.60095,1.17369,0.82579,1.20722,0.0016634,0.0016634,0.0016634
19,6302.79,1.15652,0.95116,1.11614,0.96119,0.91489,0.97052,0.54648,1.2965,0.87876,1.28366,0.0016436,0.0016436,0.0016436
20,6624,1.16341,0.96999,1.12404,0.90822,0.91241,0.96976,0.56147,1.23844,0.81725,1.26449,0.0016238,0.0016238,0.0016238
21,6944.54,1.05958,0.86306,1.0328,0.94471,0.92199,0.97647,0.60674,1.22318,0.71869,1.21847,0.001604,0.001604,0.001604
22,7263.91,1.1394,0.90981,1.0843,0.9619,0.93617,0.98454,0.61111,1.21733,0.71169,1.22192,0.0015842,0.0015842,0.0015842
23,7585.02,1.12199,0.862,1.07645,0.92448,0.9078,0.95891,0.58286,1.20249,0.77519,1.22832,0.0015644,0.0015644,0.0015644
24,7925.05,1.05965,0.81779,1.02995,0.96286,0.92199,0.97684,0.57722,1.27844,0.77291,1.31285,0.0015446,0.0015446,0.0015446
25,8263.74,1.11375,0.87216,1.08489,0.8999,0.89259,0.95384,0.60954,1.17091,0.76291,1.21698,0.0015248,0.0015248,0.0015248
26,8602.45,1.09849,0.89463,1.08844,0.92196,0.9216,0.97448,0.6337,1.1493,0.71559,1.16768,0.001505,0.001505,0.001505
27,8942.57,1.04935,0.86632,1.02288,0.94375,0.92199,0.97369,0.61964,1.18689,0.71872,1.20627,0.0014852,0.0014852,0.0014852
28,9303.18,1.0902,0.85746,1.07262,0.96217,0.90204,0.97702,0.61774,1.28536,0.8677,1.26627,0.0014654,0.0014654,0.0014654
29,9645.35,1.00465,0.85565,1.00814,0.9484,0.91241,0.96728,0.61665,1.17084,0.78806,1.19408,0.0014456,0.0014456,0.0014456
30,9968.41,1.02635,0.84291,1.00942,0.92335,0.93973,0.97958,0.63303,1.14839,0.68937,1.17668,0.0014258,0.0014258,0.0014258
31,10291.7,1.05937,0.82994,1.0435,0.95612,0.92726,0.97298,0.60745,1.22076,0.70522,1.22457,0.001406,0.001406,0.001406
32,10614.7,1.05536,0.80204,1.03656,0.96371,0.9078,0.97593,0.6342,1.1701,0.69364,1.19651,0.0013862,0.0013862,0.0013862
33,10937.4,1.06934,0.81135,1.06182,0.9659,0.93617,0.98465,0.63668,1.16226,0.67027,1.14651,0.0013664,0.0013664,0.0013664
34,11258.8,1.09821,0.80095,1.07879,0.96661,0.93617,0.98447,0.61158,1.26889,0.66921,1.24593,0.0013466,0.0013466,0.0013466
35,11580.1,1.03071,0.78614,1.01234,0.95993,0.92199,0.97909,0.62425,1.17741,0.66351,1.19568,0.0013268,0.0013268,0.0013268
36,11900.6,1.00498,0.72362,0.99781,0.94209,0.92304,0.98374,0.64733,1.09783,0.63428,1.15717,0.001307,0.001307,0.001307
37,12222.2,1.01385,0.80982,1.01667,0.97424,0.96454,0.98488,0.66012,1.10861,0.59631,1.15024,0.0012872,0.0012872,0.0012872
38,12553.2,0.98731,0.71617,0.97032,0.95082,0.95035,0.98231,0.61886,1.21981,0.69269,1.22285,0.0012674,0.0012674,0.0012674
39,12883.3,1.02917,0.81815,1.01577,0.9569,0.94484,0.9819,0.64009,1.16232,0.66828,1.21811,0.0012476,0.0012476,0.0012476
40,13213.2,1.00767,0.78093,0.99676,0.96987,0.9132,0.97809,0.63584,1.15045,0.65623,1.22398,0.0012278,0.0012278,0.0012278
41,13543.3,1.00869,0.75665,1.00407,0.96985,0.91269,0.97776,0.62867,1.19286,0.73275,1.23317,0.001208,0.001208,0.001208
42,13871.8,0.99092,0.75012,0.98496,0.96559,0.94326,0.98464,0.62937,1.17408,0.59144,1.19091,0.0011882,0.0011882,0.0011882
43,14199.9,1.01377,0.75462,1.00167,0.98767,0.92199,0.98629,0.6634,1.10242,0.6091,1.15376,0.0011684,0.0011684,0.0011684
44,14527.7,1.00333,0.73356,0.9951,0.98978,0.92199,0.98692,0.64594,1.14992,0.60819,1.20111,0.0011486,0.0011486,0.0011486
45,14855.2,1.05893,0.77891,1.01975,0.95616,0.95035,0.98206,0.63854,1.17318,0.62501,1.1951,0.0011288,0.0011288,0.0011288
46,15182.6,0.99763,0.72509,1.00441,0.9924,0.92669,0.98886,0.65931,1.14657,0.59009,1.19026,0.001109,0.001109,0.001109
47,15510,0.95299,0.74525,0.96125,0.98511,0.93828,0.98833,0.66269,1.17809,0.578,1.19449,0.0010892,0.0010892,0.0010892
48,15836.3,0.98603,0.73711,0.95683,0.94848,0.96454,0.98819,0.66995,1.0926,0.58866,1.15536,0.0010694,0.0010694,0.0010694
49,16158.6,0.9591,0.70904,0.96242,0.97884,0.95745,0.9902,0.67654,1.09985,0.62889,1.16383,0.0010496,0.0010496,0.0010496
50,16479.3,0.98635,0.75466,0.98074,0.96356,0.93781,0.9856,0.67163,1.12033,0.62332,1.16236,0.0010298,0.0010298,0.0010298
51,16800.4,0.97687,0.69726,0.95035,0.94204,0.95035,0.97826,0.64756,1.16542,0.6386,1.18164,0.00101,0.00101,0.00101
52,17121.5,1.02903,0.71061,1.02588,0.99235,0.92027,0.9878,0.67358,1.11085,0.59241,1.13568,0.0009902,0.0009902,0.0009902
53,17441.9,0.99907,0.71793,0.99178,0.94861,0.97872,0.98952,0.67469,1.11946,0.57352,1.15918,0.0009704,0.0009704,0.0009704
54,17762.4,0.96551,0.67895,0.98246,0.97451,0.89362,0.97745,0.65751,1.10613,0.61162,1.16524,0.0009506,0.0009506,0.0009506
55,18083.7,0.931,0.72566,0.94518,0.98482,0.92013,0.9839,0.67202,1.09373,0.58011,1.1336,0.0009308,0.0009308,0.0009308
56,18404.3,0.97487,0.65942,0.97888,0.95789,0.96793,0.99057,0.66711,1.09497,0.54184,1.13434,0.000911,0.000911,0.000911
57,18724.1,0.94671,0.67161,0.9798,0.97518,0.91489,0.98205,0.66765,1.11674,0.60834,1.16767,0.0008912,0.0008912,0.0008912
58,19047.6,0.95912,0.66547,0.9727,0.92584,0.97403,0.98661,0.68189,1.0871,0.56044,1.12105,0.0008714,0.0008714,0.0008714
59,19373.2,0.91754,0.63194,0.92103,0.94283,0.97163,0.984,0.67988,1.08646,0.58894,1.11191,0.0008516,0.0008516,0.0008516
60,19696.4,0.96497,0.67355,0.97323,0.9647,0.96925,0.98984,0.68525,1.10472,0.55589,1.13922,0.0008318,0.0008318,0.0008318
61,20020.9,0.94423,0.68197,0.95812,0.9578,0.96588,0.98539,0.68106,1.13148,0.56728,1.15752,0.000812,0.000812,0.000812
62,20344.6,0.95024,0.66112,0.95689,0.96475,0.97052,0.99051,0.69578,1.07306,0.56959,1.1117,0.0007922,0.0007922,0.0007922
63,20667.8,0.88869,0.63384,0.90172,0.99383,0.92908,0.98874,0.68386,1.082,0.57115,1.11524,0.0007724,0.0007724,0.0007724
64,20991.3,0.93,0.63906,0.9509,0.96223,0.95035,0.9851,0.68281,1.07505,0.52295,1.12914,0.0007526,0.0007526,0.0007526
65,21313.2,0.89082,0.61431,0.91706,0.98145,0.95035,0.98688,0.69519,1.07185,0.52351,1.11331,0.0007328,0.0007328,0.0007328
66,21634.4,0.85469,0.60167,0.89712,0.95763,0.96184,0.98904,0.6927,1.08026,0.53608,1.12513,0.000713,0.000713,0.000713
67,21955.5,0.94655,0.66405,0.95946,0.95186,0.98153,0.99182,0.6933,1.06681,0.539,1.111,0.0006932,0.0006932,0.0006932
68,22276.5,0.86369,0.59994,0.89556,0.9697,0.94326,0.99046,0.67459,1.11915,0.55334,1.13696,0.0006734,0.0006734,0.0006734
69,22597.3,0.91808,0.60479,0.93164,0.97152,0.9677,0.99115,0.68475,1.09787,0.50841,1.1265,0.0006536,0.0006536,0.0006536
70,22918.7,0.90094,0.636,0.92287,0.96289,0.97872,0.99257,0.69653,1.08052,0.51645,1.11903,0.0006338,0.0006338,0.0006338
71,23239.9,0.86479,0.54703,0.8852,0.97851,0.9689,0.99211,0.70397,1.07227,0.50779,1.11772,0.000614,0.000614,0.000614
72,23561.8,0.85266,0.55336,0.89986,0.9597,0.95745,0.98619,0.69581,1.08282,0.51733,1.12796,0.0005942,0.0005942,0.0005942
73,23883.2,0.89712,0.60129,0.90299,0.96555,0.95035,0.99148,0.70788,1.07071,0.58459,1.11732,0.0005744,0.0005744,0.0005744
74,24203.4,0.87469,0.62789,0.9118,0.97838,0.96262,0.98528,0.68493,1.09619,0.53662,1.1364,0.0005546,0.0005546,0.0005546
75,24523.5,0.88078,0.59434,0.89778,0.97121,0.9571,0.98947,0.68978,1.09791,0.5377,1.13209,0.0005348,0.0005348,0.0005348
76,24844.2,0.87292,0.58205,0.92039,0.97531,0.95745,0.9874,0.69486,1.09714,0.49065,1.13018,0.000515,0.000515,0.000515
77,25164.4,0.91003,0.60089,0.92153,0.95546,0.96454,0.9864,0.68602,1.09724,0.5235,1.13713,0.0004952,0.0004952,0.0004952
78,25484.2,0.83898,0.54278,0.87834,0.96206,0.97872,0.991,0.7043,1.05959,0.51687,1.09415,0.0004754,0.0004754,0.0004754
79,25804.8,0.85056,0.54967,0.91449,0.96241,0.97163,0.989,0.70064,1.05511,0.52155,1.11396,0.0004556,0.0004556,0.0004556
80,26124.6,0.86853,0.58022,0.89588,0.96469,0.97163,0.98683,0.70674,1.06817,0.52854,1.11117,0.0004358,0.0004358,0.0004358
81,26456.3,0.85645,0.57746,0.90078,0.95772,0.96386,0.98566,0.69831,1.08646,0.52894,1.12364,0.000416,0.000416,0.000416
82,26787.7,0.85925,0.57879,0.90941,0.95636,0.97163,0.98923,0.69889,1.08826,0.53345,1.13641,0.0003962,0.0003962,0.0003962
83,27116.7,0.85167,0.5886,0.90428,0.96472,0.96977,0.98845,0.69653,1.08091,0.52649,1.1212,0.0003764,0.0003764,0.0003764
84,27443.1,0.89227,0.6327,0.94025,0.96426,0.97163,0.98729,0.70903,1.06801,0.53111,1.10377,0.0003566,0.0003566,0.0003566
85,27769.4,0.87012,0.58856,0.89897,0.97495,0.96454,0.99015,0.70244,1.09619,0.52286,1.123,0.0003368,0.0003368,0.0003368
86,28095,0.79268,0.56411,0.8394,0.9678,0.95745,0.98222,0.70421,1.06831,0.5436,1.1056,0.000317,0.000317,0.000317
87,28421.8,0.86424,0.59316,0.92266,0.96163,0.96454,0.98876,0.69902,1.06232,0.52318,1.10312,0.0002972,0.0002972,0.0002972
88,28747.2,0.87847,0.59765,0.92726,0.97764,0.93014,0.98859,0.68135,1.08049,0.51678,1.11018,0.0002774,0.0002774,0.0002774
